STATION_NAME,NAME,STATION_ID
White House,White House,157
Edison,Edison,38
Meadowlands Rail Station,Meadowlands Sports Complex,40570
Union,Union,38105
Perth Amboy,Perth Amboy,119
Berkeley Heights,Berkeley Heights,17
Upper Montclair,Upper Montclair,150
Ridgewood,Ridgewood,131
South Amboy,South Amboy,139
Morristown,Morristown,92
Peapack,Peapack,117
Manasquan,Manasquan,79
Secaucus Junction Lower Level,Secaucus Lower Lvl,38174
Maplewood,Maplewood,81
Pearl River,Pearl River,118
Rahway,Rahway,127
Plauderville,Plauderville,121
Towaco,Towaco,147
Secaucus Concourse,Secaucus Concourse,
Woodcliff Lake,Woodcliff Lake,159
Hamilton,Hamilton,32905
Aberdeen-Matawan,Aberdeen-Matawan,37169
East Orange,East Orange,37
Hammonton,Hammonton,55
Roselle Park,Roselle Park,31
Newark Penn Station,Newark Penn Station,107
Red Bank,Red Bank,130
Lincoln Park,Lincoln Park,69
Gladstone,Gladstone,49
Convent Station,Convent Station,30
Belmar,Belmar,15
Metropark,Metropark,83
Bernardsville,Bernardsville,18
Middletown NY,Middletown NY,86
Bloomfield,Bloomfield,19
Mountain Station,Mountain Station,97
Secaucus Junction Upper Level,Secaucus Upper Lvl,38187
Wood-Ridge,Wood Ridge,160
Westwood,Westwood,156
Garwood,Garwood,47
Atlantic City,Atlantic City Rail Terminal,10
Port Jervis,Port Jervis,123
Elberon,Elberon,40
New Bridge Landing,New Bridge Landing,110
Bridgewater,Bridgewater,24
Anderson Street-Hackensack,Anderson Street,5
Fanwood,Fanwood,44
Otisville,Otisville,113
Little Silver,Little Silver,73
Netherwood,Netherwood,102
Orange,Orange,37
Linden,Linden,70
Essex Street-Hackensack,Essex Street,43
Bay Head,Bay Head,13
Elizabeth,Elizabeth,41
Passaic,Passaic,115
Mount Tabor,Mount Tabor,94
Hawthorne,Hawthorne,58
Metuchen,Metuchen,84
Salisbury Mills-Cornwall,Salisbury Mills-Cornwall,135
Mountain Avenue,Mountain Avenue,95
Atco,Atco,9
Chatham,Chatham,27
Long Branch,Long Branch,74
Princeton Jct.,Princeton Junction,124
Rutherford,Rutherford,134
Mt Arlington,Mount Arlington,39472
Wayne Route 23 Transit Center,Wayne-Route 23,39635
Cherry Hill,Cherry Hill,28
Ho-Ho-Kus,Ho-Ho-Kus,64
Hoboken Terminal,Hoboken,63
Westfield,Westfield,155
Point Pleasant Beach,Point Pleasant Beach,122
Teterboro-Williams Ave,Teterboro,146
Madison,Madison,77
Ramsey,Ramsey Main St,128
Lyons,Lyons,76
Dunellen,Dunellen,36
Somerville,Somerville,138
Spring Lake,Spring Lake,141
Hackettstown,Hackettstown,54
Mountain View-Wayne,Mountain View,98
New Providence,New Providence,104
Park Ridge,Park Ridge,114
Harriman,Harriman,57
Emerson,Emerson,42
Mahwah,Mahwah,78
New York Penn Station,New York Penn Station,105
Oradell,Oradell,111
Delawanna,Delawanna,33
Hazlet,Hazlet,59
Avenel,Avenel,11
Short Hills,Short Hills,136
North Elizabeth,North Elizabeth,41
Campbell Hall,Campbell Hall,26
Basking Ridge,Basking Ridge,12
Millburn,Millburn,87
Pennsauken Transit Center,Pennsauken,43298
Montclair St Univ,Montclair State U,38081
Glen Rock-Main,Glen Rock Main Line,52
Far Hills,Far Hills,45
Allenhurst,Allenhurst,4
Jersey Avenue,Jersey Avenue,32906
Cranford,Cranford,32
Princeton,Princeton,124
Lindenwold,Lindenwold,70
Morris Plains,Morris Plains,91
High Bridge,High Bridge,60
Watsessing,Watsessing Avenue,154
Kingsland,Kingsland,66
Summit,Summit,145
Lake Hopatcong,Lake Hopatcong,9
Radburn,Radburn Fair Lawn,126
New Brunswick,New Brunswick,103
Glen Rock-Boro Hall,Glen Rock Boro Hall,51
Murray Hill,Murray Hill,99
Egg Harbor City,Egg Harbor City,39
Tuxedo,Tuxedo,149
Bound Brook,Bound Brook,21
Lebanon,Lebanon,68
Annandale,Annandale,6
Millington,Millington,88
Middletown,Middletown NJ,85
Montvale,Montvale,90
Spring Valley,Spring Valley,142
Gillette,Gillette,48
Brick Church,Brick Church,23
30th Street Station,Philadelphia,1
South Orange,South Orange,112
Plainfield,Plainfield,120
Paterson,Paterson,116
North Branch,North Branch,108
Netcong,Netcong,101
Walnut Street,Walnut Street,152
Sloatsburg,Sloatsburg,137
Mountain Lakes,Mountain Lakes,96
Montclair Heights,Montclair Heights,89
Denville,Denville,34
Newark Broad Street,Newark Broad Street,106
Allendale,Allendale,3
Nanuet,Nanuet,100
Wesmont,Wesmont,43599
Monmouth Park,Monmouth Park,
Little Falls,Little Falls,72
Waldwick,Waldwick,151
Newark Airport,Newark Airport,37953
Lyndhurst,Lyndhurst,75
Glen Ridge,Glen Ridge,50
Stirling,Stirling,143
Hillsdale,Hillsdale,62
Bay Street-Montclair,Bay Street,14
Absecon,Absecon,2
Raritan,Raritan,129
Suffern,Suffern,144
Dover,Dover,35
Trenton,Trenton,148
Asbury Park,Asbury Park,8
Woodbridge,Woodbridge,158
Bradley Beach,Bradley Beach,22
Clifton,Clifton,29
Boonton,Boonton,20
Broadway,Broadway Fair Lawn,25
Highland Avenue,Highland Avenue,61
Rte 17 Ramsey,Ramsey Route 17,38417
Garfield,Garfield,46
Mount Olive,Mount Olive,93
River Edge,River Edge,132
Watchung Avenue,Watchung Avenue,153
